관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11350-100209614,,지상,서울특별시 노원구 마들로5길 89-27,1.45,7,0,0,78
11200-1154,,지상,서울특별시 성동구 고산자로4길 34,295.24,6,375,0,417
11260-100260630,,지상,서울특별시 중랑구 동일로92길 40,299.25,13,1505,0,2108
11260-34,,지상,서울특별시 중랑구 신내로 51,310.71,7,876,0,566
11740-100257222,,지상,서울특별시 강동구 올림픽로91길 30,472.99,6,460,0,587
11590-49,,지상,서울특별시 동작구 만양로 19,289.27,3,925,0,7
11200-100192483,,지상,금호동2가 1216-0,247.56,2,306,0,306
11200-1222,,지상,서울특별시 성동구 뚝섬로 51,247.61,5,269,0,308
11200-100188912,,지상,옥수동 560-0,248.91,7,297,0,444
11590-100186330,,지상,서울특별시 동작구 흑석로 84,174.96,24,0,0,1459
11680-267,,지상,서울특별시 강남구 압구정로77길 36,0.0,2,15,0,0
11650-393,,지상,서울특별시 서초구 방배중앙로 157,241.78,2,0,0,6
11470-592,,지상,서울특별시 양천구 신정로 225-12,248.66,4,153,0,211
11560-100253649,,지상,신길동 4955-0,255.66,7,612,0,673
11260-327,,지상,서울특별시 중랑구 봉화산로56길 112,237.65,4,214,0,236
11260-334,,지상,서울특별시 중랑구 송림길 114,65.52,3,0,0,21
11500-576,,지상,마곡동 429-0,264.3,9,479,0,549
11170-100189272,,지상,서울특별시 용산구 독서당로 111,120.47,33,600,0,1732
11500-769,,지상,서울특별시 강서구 방화대로21길 83,0.0,2,0,1,0
11230-527,,지상,서울특별시 동대문구 장안벚꽃로 167,299.73,28,1786,0,2073
11260-100258571,,지상,서울특별시 중랑구 봉화산로 188,82.75,2,0,0,28
11260-565,,지상,중화동 316-30,142.8,4,0,6,38
11215-286,,지상,서울특별시 광진구 천호대로 808,293.08,2,119,0,277
11215-13,,지상,서울특별시 광진구 아차산로 549,314.55,15,1170,0,1208
11440-165,,지상,서울특별시 마포구 동교로 128,272.85,2,0,0,10
11320-100199621,,지상,쌍문동 732-0,235.29,6,293,0,321
11560-2088,,지상,서울특별시 영등포구 도영로 80,399.4,2,0,0,247
11230-402,,지상,서울특별시 동대문구 천호대로93길 56,249.01,2,123,0,141
11230-528,,지상,서울특별시 동대문구 천호대로97길 61,249.13,2,124,0,139
11440-1474,,지상,서울특별시 마포구 가양대로 125,9.89,2,0,0,0
11230-359,,지상,서울특별시 동대문구 장한로26다길 84,274.65,3,193,0,237
11170-100201407,,지상,한남동 707-55,53.2,2,0,0,10
11440-1067,,지상,서울특별시 마포구 독막로7길 57,77.9,2,0,0,0
11440-932,,지상,서울특별시 마포구 월드컵북로 152,86.37,3,0,0,34
11650-339,,지상,서울특별시 서초구 서초중앙로 96,83.61,20,0,0,56
11650-100291735,,지상,서울특별시 서초구 남부순환로 2493,134.48,3,0,0,0
11305-602,,지상,서울특별시 강북구 도봉로78길 75,0.0,3,60,0,0
11560-1269,,지상,신길동 630-0,0.0,2,0,2,0
11215-100239649,,지상,군자동 362-1,116.87,2,0,0,20
