관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11650-2874,,지상,서울특별시 서초구 동광로10길 11-9,248.01,5,1,0,5
11470-21493,,지상,서울특별시 양천구 신목로2길 56,0.0,1,0,0,0
11650-4083,,지상,서울특별시 서초구 방배로 83-9,278.53,5,1,1,5
11470-100243028,,지상,서울특별시 양천구 신정이펜1로 94,151.26,3,0,0,6
11440-28727,,지상,서울특별시 마포구 동교로46길 7,184.73,4,1,0,3
11440-29185,,지상,서울특별시 마포구 연남로5길 52-1,112.84,2,1,0,0
11440-33166,11440-1075,지상,서울특별시 마포구 월드컵북로 328,0.0,6,0,2,0
11500-100354994,,지상,서울특별시 강서구 까치산로18길 58-18,149.93,4,0,1,4
11740-17375,,지상,서울특별시 강동구 구천면로12길 5,0.0,2,1,0,0
11740-17504,,지상,서울특별시 강동구 상일로 39-6,0.0,3,1,0,2
11215-23025,,지상,서울특별시 광진구 능동로 139,234.99,4,1,0,0
11110-100185923,,지상,서울특별시 종로구 북촌로5길 64,149.57,3,1,0,2
11470-13139,,지상,서울특별시 양천구 중앙로45길 4,0.0,1,0,0,0
11470-100202426,11470-100202427,지상,서울특별시 양천구 목동중앙본로30길 35,0.0,4,1,0,0
11470-21398,,지상,서울특별시 양천구 중앙로 269,0.0,3,1,0,3
11350-9433,,지상,서울특별시 노원구 공릉로58마길 31-4,0.0,1,0,0,0
11590-7223,,지상,서울특별시 동작구 장승배기로 145,196.94,4,1,0,0
11470-14885,,지상,서울특별시 양천구 등촌로 48,0.0,3,0,0,0
11470-19324,,지상,서울특별시 양천구 공항대로 610,0.0,1,0,0,0
11470-9651,,지상,서울특별시 양천구 목동중앙본로 111,0.0,3,1,0,0
11560-17188,,지상,서울특별시 영등포구 양평로 119-1,0.0,4,1,0,0
11470-17270,,지상,목동 545-20,0.0,1,0,0,0
11470-13546,,지상,서울특별시 양천구 공항대로 560,0.0,2,1,0,0
11470-13845,,지상,서울특별시 양천구 가로공원로 151,0.0,2,1,0,0
11470-14065,,지상,서울특별시 양천구 중앙로45길 10,0.0,3,1,0,0
11470-16682,,지상,서울특별시 양천구 신정로 306,59.93,2,1,0,0
11470-16274,,지상,신월동 718-3,0.0,1,0,0,0
11470-7811,,지상,서울특별시 양천구 남부순환로 640,10.22,2,1,0,4
11470-8363,,지상,서울특별시 양천구 공항대로 570,0.0,3,1,0,0
11470-8649,,지상,서울특별시 양천구 공항대로 564,0.0,3,1,0,0
11470-9046,,지상,서울특별시 양천구 목동중앙본로7길 42,0.0,3,1,0,0
11380-15398,,지상,서울특별시 은평구 연서로21길 8,262.31,5,1,1,7
11500-17664,,지상,서울특별시 강서구 가로공원로 232,228.18,4,1,0,4
11530-1157,11530-404,지상,서울특별시 구로구 개봉로3길 82,0.0,4,0,0,0
11140-13882,,지상,서울특별시 중구 청계천로 166-6,0.0,1,0,0,0
11140-100208054,,지상,서울특별시 중구 동호로24길 27-10,197.0047,5,1,1,10
11170-10740,,지상,서울특별시 용산구 효창원로 54,160.11,5,1,0,5
11560-9694,11560-768,지상,서울특별시 영등포구 당산로45길 2-2,184.41,3,0,0,1
11560-10058,,지상,서울특별시 영등포구 당산로 231,389.18,8,1,0,26
11440-19436,,지상,서울특별시 마포구 양화로 122,187.35,4,1,0,0
11440-21043,,지상,서울특별시 마포구 월드컵로12길 33,118.25,3,0,0,2
11440-24839,,지상,서울특별시 마포구 월드컵로13길 55-32,0.0,2,1,0,0
11440-29033,,지상,서울특별시 마포구 연남로11길 33,0.0,3,1,0,0
11440-30495,,지상,서울특별시 마포구 성암로7길 21,0.0,3,1,0,0
11740-16874,,지상,서울특별시 강동구 양재대로 1566,336.27,6,1,1,23
11440-100236789,,지상,서울특별시 마포구 동교로27길 47,189.49,4,0,0,2
11170-7077,,지상,서울특별시 용산구 청파로47길 22,0.0,2,0,0,0
11170-23029,,지상,서울특별시 용산구 한강대로 345,0.0,3,1,0,0
11230-26180,,지상,장안동 407-16,0.0,3,1,0,0
11230-30222,,지상,서울특별시 동대문구 왕산로28길 39,0.0,2,1,0,0
11230-30552,,지상,서울특별시 동대문구 한빛로 7,0.0,3,1,0,0
11230-7325,,지상,서울특별시 동대문구 망우로 25,59.78,1,0,0,0
