관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적
11710-100223670,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,3004,지상,40.0,0,2.0132
11710-100223669,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,3003,지상,40.0,0,7.7604
11710-100223668,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,3002,지상,40.0,0,2.1669
11710-100223667,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,3001,지상,40.0,0,2.0132
11710-100223666,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2904,지상,40.0,0,7.7604
11710-100223665,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2903,지상,40.0,0,2.1669
11710-100223664,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2902,지상,40.0,0,9.9955
11710-100223663,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2901,지상,40.0,0,2.593
11710-100223662,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2804,지상,40.0,0,2.791
11710-100223651,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2601,지상,40.0,0,7.209
11710-100223650,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2504,지상,40.0,0,6.6976
11710-100223649,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2503,지상,40.0,0,4.9613
11710-100223647,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2501,지상,40.0,0,4.6093
11710-100223646,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2404,지상,40.0,0,20.7707
11710-100223645,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2403,지상,40.0,0,5.7998
11710-100223661,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2803,지상,40.0,0,12.6336
