건축물대장 관리번호,용적율,지상층수,지하층수,승강기 수,주차 대수
11380-100195833,231.44,6,0,1,5
11230-18697,0.0,2,1,0,0
11110-17730,317.44,5,0,1,0
11650-8299,0.0,4,1,0,0
11380-100254584,0.0,1,0,0,0
11380-100254613,0.0,0,1,0,0
11110-17801,0.0,3,0,0,0
11680-100195328,149.96,4,2,1,11
11215-21043,0.0,3,1,0,0
11350-9302,209.12,4,0,0,1
11680-100291563,149.89,4,2,1,5
11110-17832,0.0,2,0,0,0
11110-17846,0.0,3,1,0,0
11230-19474,0.0,1,0,0,0
11380-19620,61.8,2,0,0,0
11110-17916,0.0,2,0,0,0
11380-19623,70.93,5,1,0,0
11380-27217,0.0,1,0,0,0
11110-18041,0.0,3,1,0,0
11110-100207005,96.0006,2,1,0,3
11680-19484,249.66,6,2,1,7
11680-20336,222.04,5,1,0,5
11110-18097,0.0,1,0,0,0
11530-100194325,137.52,3,1,1,3
